end,parent,service,meter,start,key,unit,quantity
2015-02-01T00:00:00,5673385510043648,Electricity,999400281,2015-01-01T00:00:00,5910974510923776,kwh,11280.0
2015-02-01T00:00:00,5673385510043648,Electricity,999400281-demand,2015-01-01T00:00:00,6192449487634432,kw,12.08
2015-02-17T00:00:00,5673497447628800,Electricity,14042180-demand,2015-01-18T00:00:00,5066549580791808,kw,219.0
2015-02-17T00:00:00,5673497447628800,Electricity,14042180,2015-01-18T00:00:00,5629499534213120,kwh,89700.0
2015-02-17T00:00:00,5673497447628800,Electricity,14042180-credit,2015-01-18T00:00:00,6192449487634432,kwh,2100.0
2014-01-10T00:00:00,5674368789118976,Electricity,ACCT433803-179084,2013-10-10T00:00:00,5629499534213120,kwh,1560.0
2013-07-31T00:00:00,5675214360805376,Trash,,2013-07-01T00:00:00,5629499534213120,yd,2.0
2012-08-09T00:00:00,5675267779461120,Electricity,ACCT433803-179085,2012-07-11T00:00:00,5629499534213120,kwh,263.0
2013-11-30T00:00:00,5676073085829120,Trash,Picnic Area,2013-11-01T00:00:00,5629499534213120,yd,4.0
2015-07-08T00:00:00,5676201666412544,Natural Gas,20193729,2015-06-08T00:00:00,5629499534213120,therm,0.0
2011-10-28T00:00:00,5676830073815040,Waste Water,,2011-09-28T00:00:00,4785074604081152,cf,100.0
2011-10-28T00:00:00,5676830073815040,Water,6106456,2011-09-28T00:00:00,5066549580791808,c.f,100.0
2011-10-28T00:00:00,5676830073815040,Trash,Trash-no usage shown,2011-09-28T00:00:00,5629499534213120,yd,0.0
2011-10-28T00:00:00,5676830073815040,Electricity,39523049,2011-09-28T00:00:00,5910974510923776,kwh,864.0
2011-10-28T00:00:00,5676830073815040,Street Light,Street-Light,2011-09-28T00:00:00,6192449487634432,kwh,0.0
2013-11-22T00:00:00,5676982813589504,Waste Water,,2013-10-23T00:00:00,4785074604081152,cf,0.0
2013-11-22T00:00:00,5676982813589504,Water,6106456,2013-10-23T00:00:00,5066549580791808,c.f,0.0
2013-11-22T00:00:00,5676982813589504,Trash,Trash-no usage shown,2013-10-23T00:00:00,5629499534213120,yd,0.0
2013-11-22T00:00:00,5676982813589504,Electricity,39523049,2013-10-23T00:00:00,5910974510923776,kwh,907.0
2013-11-22T00:00:00,5676982813589504,Street Light,Street-Light,2013-10-23T00:00:00,6192449487634432,kwh,0.0
2015-04-01T00:00:00,5677751478517760,Electricity,11-30-003 Heat,2015-03-01T00:00:00,5066549580791808,kwh,2396.0
2015-04-01T00:00:00,5677751478517760,Electricity,11-30-003,2015-03-01T00:00:00,5629499534213120,kwh,141.0
2015-04-01T00:00:00,5677751478517760,Electricity,12-06-008,2015-03-01T00:00:00,6192449487634432,kwh,539.0
2015-04-03T00:00:00,5678444713082880,Natural Gas,M1969733846+M20131606107,2015-03-04T00:00:00,5066549580791808,therm,1820.0
2015-04-03T00:00:00,5678444713082880,Natural Gas,M20071447933,2015-03-04T00:00:00,5629499534213120,therm,322.0
2013-03-11T00:00:00,5679413765079040,Electricity,ACCT433803-179083,2013-02-04T00:00:00,5629499534213120,kwh,993.0
2011-09-29T00:00:00,5679846214598656,Electricity,39523049,2011-08-25T00:00:00,4785074604081152,kwh,610.0
2011-09-29T00:00:00,5679846214598656,Water,6106456,2011-08-25T00:00:00,5066549580791808,c.f,0.0
2011-09-29T00:00:00,5679846214598656,Waste Water,,2011-08-25T00:00:00,5629499534213120,cf,0.0
